index,name,group
240.0,Rhodochrosite HS338.3B W1R1Bb,2.0
241.0,Witherite HS273.3B W1R1Ba,2.0
242.0,Prehnite GDS613.a <60um =aa_,2.0
243.0,Mizzonite BM1931 12 Scapolte W1R1Bc,2.0
244.0,Pinnoite NMNH123943 W1R1Ba,2.0
245.0,Polyhalite NMNH92669-4 W1R1Ba,2.0
246.0,Rivadavite NMNH170164 Amph W1R1Ba,2.0
247.0,Howlite GDS155 W1R1Ba,2.0
248.0,Ulexite HS441.3B W1R1Ba,2.0
249.0,White_Crust LV30 starkeyite W1R1Fc,2.0
250.0,Analcime GDS1 Zeolite W1R1Ba,2.0
251.0,Brucite HS247.3B W1R1Bc,2.0
252.0,Carnallite NMNH98011 W1R1Bb,2.0
253.0,Colemanite GDS143 W1R1Bb,2.0
254.0,Datolite HS442.3B W1R1Bb,2.0
255.0,Hydrogrossular NMNH120555 W1R1Bb,2.0
256.0,Lepidolite NMNH88526-1 W1R1Ba,2.0
257.0,Margarite GDS106 W1R1Bc,2.0
258.0,Mascagnite GDS65.b (fr) W1R1Ba,2.0
259.0,Mirabilite GDS150 Na2SO4 W1R1Ba,2.0
260.0,Natrolite HS169.3B Zeolite W1R1Bb,2.0
261.0,Richterite NMNH150800 HCl W1R1Bb,2.0
262.0,Chrysotile ML99-12A Coar Fib W1R1Fb,2.0
263.0,Chrysotile ML99-12C Fine Fib W1R1Fb,2.0
264.0,Chrysotile HS323.1B W1R1Ba,2.0
265.0,Cronstedtite M3542 =bb_,2.0
266.0,Roscoelite EN124 W1R1Bb,2.0
267.0,Strontianite HS272.3B W1R1Bb,2.0
268.0,Syngenite GDS139 W1R1Ba,2.0
269.0,Chrysocolla HS297.3B W1R1Bb,2.0
270.0,Azurite WS316 W1R1Ba,2.0
271.0,Malachite HS254.3B W1R1Bb,2.0
272.0,Cyanide_Cadmium_Potassium W2R4Na RREF,2.0
273.0,Cyanide_Nickel_Potassium W2R4Na RREF,2.0
274.0,Cyanide_Trihydrate CT1 W1R1Ba,2.0
275.0,Cyanide_Potassium_Ferro W1R1Ba,2.0
276.0,Cyanide_Zinc_Potassium W1R1Ba,2.0
277.0,Plastic GGA-54 Grnhouse Roof W1R1Ba,2.0
278.0,Montmorill+Benzene SWy 1ml W1R1Ba,2.0
279.0,Montmorill+Trichlor SWy 1ml W1R1Ba,2.0
280.0,Montmorill+Toluene SWy .5ml W1R1Ba,2.0
281.0,Montmorill+Unleaded_Gas SWy W1R1Ba,2.0
282.0,Montmorill+TCE SWy saturated W1R1Ba,2.0
283.0,Zunyite GDS-241B <150um W1R1B?,2.0
284.0,WTC_Dust_Debris WTC01-2 W1R1Fa,2.0
285.0,WTC_Dust_Debris WTC01-28 W1R1Fa,2.0
286.0,Coated_Steel_Girder WTC01-8 W1R1Fa,2.0
287.0,Portlandite GDS525 Ca(OH)2 W1R1Fa,2.0
288.0,Potassium Nitrate GDS43,2.0
289.0,Sodium Nitrate GDS883,2.0
290.0,Vermiculite GDS458 W1R1Hc,2.0
291.0,Vermiculite ALB4SA00 W1R1Hc,2.0
292.0,Vermiculite WS682 W1R1Hc,2.0
293.0,Vermiculite WS681 W1R1Hc,2.0
294.0,CO2+O2+CH4 TRANSM ModtranZ20 r06crj3a=,2.0
